Survived,Pclass,Sex,Age,Fare,Embarked,Title,Surname,FamilySize
0,3,male,22.0,7.25,S,Mr,Braund,2
1,1,female,38.0,71.2833,C,Mrs,Cumings,2
1,3,female,26.0,7.925,S,Miss,Heikkinen,1
1,1,female,35.0,53.1,S,Mrs,Futrelle,2
0,3,male,35.0,8.05,S,Mr,Allen,1
0,3,male,30.72664459161148,8.4583,Q,Mr,Moran,1
0,1,male,54.0,51.8625,S,Mr,McCarthy,1
0,3,male,2.0,21.075,S,Master,Palsson,5
1,3,female,27.0,11.1333,S,Mrs,Johnson,3
1,2,female,14.0,30.0708,C,Mrs,Nasser,2
1,3,female,4.0,16.7,S,Miss,Sandstrom,3
1,1,female,58.0,26.55,S,Miss,Bonnell,1
0,3,male,20.0,8.05,S,Mr,Saundercock,1
0,3,male,39.0,31.275,S,Mr,Andersson,7
0,3,female,14.0,7.8542,S,Miss,Vestrom,1
1,2,female,55.0,16.0,S,Mrs,Hewlett,1
0,3,male,2.0,29.125,Q,Master,Rice,6
1,2,male,30.72664459161148,13.0,S,Mr,Williams,1
0,3,female,31.0,18.0,S,Mrs,Vander Planke,2
1,3,female,27.915708812260537,7.225,C,Mrs,Masselmani,1
0,2,male,35.0,26.0,S,Mr,Fynney,1
1,2,male,34.0,13.0,S,Mr,Beesley,1
1,3,female,15.0,8.0292,Q,Miss,McGowan,1
1,1,male,28.0,35.5,S,Mr,Sloper,1
0,3,female,8.0,21.075,S,Miss,Palsson,5
1,3,female,38.0,31.3875,S,Mrs,Asplund,7
0,3,male,30.72664459161148,7.225,C,Mr,Emir,1
0,1,male,19.0,263.0,S,Mr,Fortune,6
1,3,female,27.915708812260537,7.8792,Q,Miss,O'Dwyer,1
0,3,male,30.72664459161148,7.8958,S,Mr,Todoroff,1
0,1,male,40.0,27.7208,C,Rare,Uruchurtu,1
1,1,female,27.915708812260537,146.5208,C,Mrs,Spencer,2
1,3,female,27.915708812260537,7.75,Q,Miss,Glynn,1
0,2,male,66.0,10.5,S,Mr,Wheadon,1
0,1,male,28.0,82.1708,C,Mr,Meyer,2
0,1,male,42.0,52.0,S,Mr,Holverson,2
1,3,male,30.72664459161148,7.2292,C,Mr,Mamee,1
0,3,male,21.0,8.05,S,Mr,Cann,1
0,3,female,18.0,18.0,S,Miss,Vander Planke,3
1,3,female,14.0,11.2417,C,Miss,Nicola-Yarred,2
0,3,female,40.0,9.475,S,Mrs,Ahlin,2
0,2,female,27.0,21.0,S,Mrs,Turpin,2
0,3,male,30.72664459161148,7.8958,C,Mr,Kraeff,1
1,2,female,3.0,41.5792,C,Miss,Laroche,4
1,3,female,19.0,7.8792,Q,Miss,Devaney,1
0,3,male,30.72664459161148,8.05,S,Mr,Rogers,1
0,3,male,30.72664459161148,15.5,Q,Mr,Lennon,2
1,3,female,27.915708812260537,7.75,Q,Miss,O'Driscoll,1
0,3,male,30.72664459161148,21.6792,C,Mr,Samaan,3
0,3,female,18.0,17.8,S,Mrs,Arnold-Franchi,2
0,3,male,7.0,39.6875,S,Master,Panula,6
0,3,male,21.0,7.8,S,Mr,Nosworthy,1
1,1,female,49.0,76.7292,C,Mrs,Harper,2
1,2,female,29.0,26.0,S,Mrs,Faunthorpe,2
0,1,male,65.0,61.9792,C,Mr,Ostby,2
1,1,male,30.72664459161148,35.5,S,Mr,Woolner,1
1,2,female,21.0,10.5,S,Miss,Rugg,1
0,3,male,28.5,7.2292,C,Mr,Novel,1
1,2,female,5.0,27.75,S,Miss,West,4
0,3,male,11.0,46.9,S,Master,Goodwin,8
0,3,male,22.0,7.2292,C,Mr,Sirayanian,1
1,1,female,38.0,80.0,,Miss,Icard,1
0,1,male,45.0,83.475,S,Mr,Harris,2
0,3,male,4.0,27.9,S,Master,Skoog,6
0,1,male,30.72664459161148,27.7208,C,Mr,Stewart,1
1,3,male,30.72664459161148,15.2458,C,Master,Moubarek,3
1,2,female,29.0,10.5,S,Mrs,Nye,1
0,3,male,19.0,8.1583,S,Mr,Crease,1
1,3,female,17.0,7.925,S,Miss,Andersson,7
0,3,male,26.0,8.6625,S,Mr,Kink,3
0,2,male,32.0,10.5,S,Mr,Jenkin,1
0,3,female,16.0,46.9,S,Miss,Goodwin,8
0,2,male,21.0,73.5,S,Mr,Hood,1
0,3,male,26.0,14.4542,C,Mr,Chronopoulos,2
1,3,male,32.0,56.4958,S,Mr,Bing,1
0,3,male,25.0,7.65,S,Mr,Moen,1
0,3,male,30.72664459161148,7.8958,S,Mr,Staneff,1
0,3,male,30.72664459161148,8.05,S,Mr,Moutal,1
1,2,male,0.83,29.0,S,Master,Caldwell,3
1,3,female,30.0,12.475,S,Miss,Dowdell,1
0,3,male,22.0,9.0,S,Mr,Waelens,1
1,3,male,29.0,9.5,S,Mr,Sheerlinck,1
1,3,female,27.915708812260537,7.7875,Q,Miss,McDermott,1
0,1,male,28.0,47.1,S,Mr,Carrau,1
1,2,female,17.0,10.5,S,Miss,Ilett,1
1,3,female,33.0,15.85,S,Mrs,Backstrom,4
0,3,male,16.0,34.375,S,Mr,Ford,5
0,3,male,30.72664459161148,8.05,S,Mr,Slocovski,1
1,1,female,23.0,263.0,S,Miss,Fortune,6
0,3,male,24.0,8.05,S,Mr,Celotti,1
0,3,male,29.0,8.05,S,Mr,Christmann,1
0,3,male,20.0,7.8542,S,Mr,Andreasson,1
0,1,male,46.0,61.175,S,Mr,Chaffee,2
0,3,male,26.0,20.575,S,Mr,Dean,4
0,3,male,59.0,7.25,S,Mr,Coxon,1
0,3,male,30.72664459161148,8.05,S,Mr,Shorney,1
0,1,male,71.0,34.6542,C,Mr,Goldschmidt,1
1,1,male,23.0,63.3583,C,Mr,Greenfield,2
1,2,female,34.0,23.0,S,Mrs,Doling,2
0,2,male,34.0,26.0,S,Mr,Kantor,2
0,3,female,28.0,7.8958,S,Miss,Petranec,1
0,3,male,30.72664459161148,7.8958,S,Mr,Petroff,1
0,1,male,21.0,77.2875,S,Mr,White,2
0,3,male,33.0,8.6542,S,Mr,Johansson,1
0,3,male,37.0,7.925,S,Mr,Gustafsson,3
0,3,male,28.0,7.8958,S,Mr,Mionoff,1
1,3,female,21.0,7.65,S,Miss,Salkjelsvik,1
1,3,male,30.72664459161148,7.775,S,Mr,Moss,1
0,3,male,38.0,7.8958,S,Mr,Rekic,1
1,3,female,27.915708812260537,24.15,Q,Miss,Moran,2
0,1,male,47.0,52.0,S,Mr,Porter,1
0,3,female,14.5,14.4542,C,Miss,Zabour,2
0,3,male,22.0,8.05,S,Mr,Barton,1
0,3,female,20.0,9.825,S,Miss,Jussila,2
0,3,female,17.0,14.4583,C,Miss,Attalah,1
0,3,male,21.0,7.925,S,Mr,Pekoniemi,1
0,3,male,70.5,7.75,Q,Mr,Connors,1
0,2,male,29.0,21.0,S,Mr,Turpin,2
0,1,male,24.0,247.5208,C,Mr,Baxter,2
0,3,female,2.0,31.275,S,Miss,Andersson,7
0,2,male,21.0,73.5,S,Mr,Hickman,3
0,3,male,30.72664459161148,8.05,S,Mr,Moore,1
0,2,male,32.5,30.0708,C,Mr,Nasser,2
1,2,female,32.5,13.0,S,Miss,Webber,1
0,1,male,54.0,77.2875,S,Mr,White,2
1,3,male,12.0,11.2417,C,Master,Nicola-Yarred,2
0,3,male,30.72664459161148,7.75,Q,Mr,McMahon,1
1,3,male,24.0,7.1417,S,Mr,Madsen,1
1,3,female,27.915708812260537,22.3583,C,Miss,Peter,3
0,3,male,45.0,6.975,S,Mr,Ekstrom,1
0,3,male,33.0,7.8958,C,Mr,Drazenoic,1
0,3,male,20.0,7.05,S,Mr,Coelho,1
0,3,female,47.0,14.5,S,Mrs,Robins,2
1,2,female,29.0,26.0,S,Mrs,Weisz,2
0,2,male,25.0,13.0,S,Mr,Sobey,1
0,2,male,23.0,15.0458,C,Mr,Richard,1
1,1,female,19.0,26.2833,S,Miss,Newsom,3
0,1,male,37.0,53.1,S,Mr,Futrelle,2
0,3,male,16.0,9.2167,S,Mr,Osen,1
0,1,male,24.0,79.2,C,Mr,Giglio,1
0,3,female,27.915708812260537,15.2458,C,Mrs,Boulos,3
1,3,female,22.0,7.75,S,Miss,Nysten,1
1,3,female,24.0,15.85,S,Mrs,Hakkarainen,2
0,3,male,19.0,6.75,Q,Mr,Burke,1
0,2,male,18.0,11.5,S,Mr,Andrew,1
0,2,male,19.0,36.75,S,Mr,Nicholls,3
1,3,male,27.0,7.7958,S,Mr,Andersson,1
0,3,female,9.0,34.375,S,Miss,Ford,5
0,2,male,36.5,26.0,S,Mr,Navratil,3
0,2,male,42.0,13.0,S,Rare,Byles,1
0,2,male,51.0,12.525,S,Rare,Bateman,1
1,1,female,22.0,66.6,S,Mrs,Pears,2
0,3,male,55.5,8.05,S,Mr,Meo,1
0,3,male,40.5,14.5,S,Mr,van Billiard,3
0,3,male,30.72664459161148,7.3125,S,Mr,Olsen,1
0,1,male,51.0,61.3792,C,Mr,Williams,2
1,3,female,16.0,7.7333,Q,Miss,Gilnagh,1
0,3,male,30.0,8.05,S,Mr,Corn,1
0,3,male,30.72664459161148,8.6625,S,Mr,Smiljanic,1
0,3,male,30.72664459161148,69.55,S,Master,Sage,11
0,3,male,44.0,16.1,S,Mr,Cribb,2
1,2,female,40.0,15.75,S,Mrs,Watt,1
0,3,male,26.0,7.775,S,Mr,Bengtsson,1
0,3,male,17.0,8.6625,S,Mr,Calic,1
0,3,male,1.0,39.6875,S,Master,Panula,6
1,3,male,9.0,20.525,S,Master,Goldsmith,3
1,1,female,27.915708812260537,55.0,S,Mrs,Chibnall,2
0,3,female,45.0,27.9,S,Mrs,Skoog,6
0,1,male,30.72664459161148,25.925,S,Mr,Baumann,1
0,3,male,28.0,56.4958,S,Mr,Ling,1
0,1,male,61.0,33.5,S,Mr,Van der hoef,1
0,3,male,4.0,29.125,Q,Master,Rice,6
1,3,female,1.0,11.1333,S,Miss,Johnson,3
0,3,male,21.0,7.925,S,Mr,Sivola,1
0,1,male,56.0,30.6958,C,Mr,Smith,1
0,3,male,18.0,7.8542,S,Mr,Klasen,3
0,3,male,30.72664459161148,25.4667,S,Master,Lefebre,5
0,1,female,50.0,28.7125,C,Miss,Isham,1
0,2,male,30.0,13.0,S,Mr,Hale,1
0,3,male,36.0,0.0,S,Mr,Leonard,1
0,3,female,27.915708812260537,69.55,S,Miss,Sage,11
0,2,male,30.72664459161148,15.05,C,Mr,Pernot,1
0,3,male,9.0,31.3875,S,Master,Asplund,7
1,2,male,1.0,39.0,S,Master,Becker,4
1,3,female,4.0,22.025,S,Miss,Kink-Heilmann,3
0,1,male,30.72664459161148,50.0,S,Mr,Rood,1
1,3,female,27.915708812260537,15.5,Q,Mrs,O'Brien,2
1,1,male,45.0,26.55,S,Mr,Romaine,1
0,3,male,40.0,15.5,Q,Mr,Bourke,3
0,3,male,36.0,7.8958,S,Mr,Turcin,1
1,2,female,32.0,13.0,S,Mrs,Pinsky,1
0,2,male,19.0,13.0,S,Mr,Carbines,1
1,3,female,19.0,7.8542,S,Miss,Andersen-Jensen,2
1,2,male,3.0,26.0,S,Master,Navratil,3
1,1,female,44.0,27.7208,C,Mrs,Brown,1
1,1,female,58.0,146.5208,C,Miss,Lurette,1
0,3,male,30.72664459161148,7.75,Q,Mr,Mernagh,1
0,3,male,42.0,8.4042,S,Mr,Olsen,2
1,3,female,27.915708812260537,7.75,Q,Miss,Madigan,1
0,2,female,24.0,13.0,S,Miss,Yrois,1
0,3,male,28.0,9.5,S,Mr,Vande Walle,1
0,3,male,30.72664459161148,69.55,S,Mr,Sage,11
0,3,male,34.0,6.4958,S,Mr,Johanson,1
0,3,male,45.5,7.225,C,Mr,Youseff,1
1,3,male,18.0,8.05,S,Mr,Cohen,1
0,3,female,2.0,10.4625,S,Miss,Strom,2
0,3,male,32.0,15.85,S,Mr,Backstrom,2
1,3,male,26.0,18.7875,C,Mr,Albimona,1
1,3,female,16.0,7.75,Q,Miss,Carr,1
1,1,male,40.0,31.0,C,Mr,Blank,1
0,3,male,24.0,7.05,S,Mr,Ali,1
1,2,female,35.0,21.0,S,Miss,Cameron,1
0,3,male,22.0,7.25,S,Mr,Perkin,1
0,2,male,30.0,13.0,S,Mr,Givard,1
0,3,male,30.72664459161148,7.75,Q,Mr,Kiernan,2
1,1,female,31.0,113.275,C,Miss,Newell,2
1,3,female,27.0,7.925,S,Miss,Honkanen,1
0,2,male,42.0,27.0,S,Mr,Jacobsohn,2
1,1,female,32.0,76.2917,C,Miss,Bazzani,1
0,2,male,30.0,10.5,S,Mr,Harris,1
1,3,male,16.0,8.05,S,Mr,Sunderland,1
0,2,male,27.0,13.0,S,Mr,Bracken,1
0,3,male,51.0,8.05,S,Mr,Green,1
0,3,male,30.72664459161148,7.8958,S,Mr,Nenkoff,1
1,1,male,38.0,90.0,S,Mr,Hoyt,2
0,3,male,22.0,9.35,S,Mr,Berglund,1
1,2,male,19.0,10.5,S,Mr,Mellors,1
0,3,male,20.5,7.25,S,Mr,Lovell,1
0,2,male,18.0,13.0,S,Mr,Fahlstrom,1
0,3,female,27.915708812260537,25.4667,S,Miss,Lefebre,5
1,1,female,35.0,83.475,S,Mrs,Harris,2
0,3,male,29.0,7.775,S,Mr,Larsson,1
0,2,male,59.0,13.5,S,Mr,Sjostedt,1
1,3,female,5.0,31.3875,S,Miss,Asplund,7
0,2,male,24.0,10.5,S,Mr,Leyson,1
0,3,female,27.915708812260537,7.55,S,Miss,Harknett,1
0,2,male,44.0,26.0,S,Mr,Hold,2
1,2,female,8.0,26.25,S,Miss,Collyer,3
0,2,male,19.0,10.5,S,Mr,Pengelly,1
0,2,male,33.0,12.275,S,Mr,Hunt,1
0,3,female,27.915708812260537,14.4542,C,Miss,Zabour,2
1,3,female,27.915708812260537,15.5,Q,Miss,Murphy,2
0,2,male,29.0,10.5,S,Mr,Coleridge,1
0,3,male,22.0,7.125,S,Mr,Maenpaa,1
0,3,male,30.0,7.225,C,Mr,Attalah,1
0,1,male,44.0,90.0,Q,Rare,Minahan,3
0,3,female,25.0,7.775,S,Miss,Lindahl,1
1,2,female,24.0,14.5,S,Mrs,Hamalainen,3
1,1,male,37.0,52.5542,S,Mr,Beckwith,3
0,2,male,54.0,26.0,S,Rare,Carter,2
0,3,male,30.72664459161148,7.25,S,Mr,Reed,1
0,3,female,29.0,10.4625,S,Mrs,Strom,3
0,1,male,62.0,26.55,S,Mr,Stead,1
0,3,male,30.0,16.1,S,Mr,Lobb,2
0,3,female,41.0,20.2125,S,Mrs,Rosblom,3
1,3,female,29.0,15.2458,C,Mrs,Touma,3
1,1,female,27.915708812260537,79.2,C,Mrs,Thorne,1
1,1,female,30.0,86.5,S,Miss,Cherry,1
1,1,female,35.0,512.3292,C,Miss,Ward,1
1,2,female,50.0,26.0,S,Mrs,Parrish,2
0,3,male,30.72664459161148,7.75,Q,Mr,Smith,1
1,3,male,3.0,31.3875,S,Master,Asplund,7
0,1,male,52.0,79.65,S,Mr,Taussig,3
0,1,male,40.0,0.0,S,Mr,Harrison,1
0,3,female,27.915708812260537,7.75,Q,Miss,Henry,1
0,2,male,36.0,10.5,S,Mr,Reeves,1
0,3,male,16.0,39.6875,S,Mr,Panula,6
1,3,male,25.0,7.775,S,Mr,Persson,2
1,1,female,58.0,153.4625,S,Mrs,Graham,2
1,1,female,35.0,135.6333,S,Miss,Bissette,1
0,1,male,30.72664459161148,31.0,S,Mr,Cairns,1
1,3,male,25.0,0.0,S,Mr,Tornquist,1
1,2,female,41.0,19.5,S,Mrs,Mellinger,2
0,1,male,37.0,29.7,C,Mr,Natsch,2
1,3,female,27.915708812260537,7.75,Q,Miss,Healy,1
1,1,female,63.0,77.9583,S,Miss,Andrews,2
0,3,female,45.0,7.75,S,Miss,Lindblom,1
0,2,male,30.72664459161148,0.0,S,Mr,Parkes,1
0,3,male,7.0,29.125,Q,Master,Rice,6
1,3,female,35.0,20.25,S,Mrs,Abbott,3
0,3,male,65.0,7.75,Q,Mr,Duane,1
0,3,male,28.0,7.8542,S,Mr,Olsson,1
0,3,male,16.0,9.5,S,Mr,de Pelsmaeker,1
1,3,male,19.0,8.05,S,Mr,Dorking,1
0,1,male,30.72664459161148,26.0,S,Mr,Smith,1
0,3,male,33.0,8.6625,C,Mr,Stankovic,1
1,3,male,30.0,9.5,S,Mr,de Mulder,1
0,3,male,22.0,7.8958,S,Mr,Naidenoff,1
1,2,male,42.0,13.0,S,Mr,Hosono,1
1,3,female,22.0,7.75,Q,Miss,Connolly,1
1,1,female,26.0,78.85,S,Miss,Barber,1
1,1,female,19.0,91.0792,C,Mrs,Bishop,2
0,2,male,36.0,12.875,C,Mr,Levy,1
0,3,female,24.0,8.85,S,Miss,Haas,1
0,3,male,24.0,7.8958,S,Mr,Mineff,1
0,1,male,30.72664459161148,27.7208,C,Mr,Lewy,1
0,3,male,23.5,7.2292,C,Mr,Hanna,1
0,1,female,2.0,151.55,S,Miss,Allison,4
1,1,male,30.72664459161148,30.5,S,Mr,Saalfeld,1
1,1,female,50.0,247.5208,C,Mrs,Baxter,2
1,3,female,27.915708812260537,7.75,Q,Miss,Kelly,1
1,3,male,30.72664459161148,23.25,Q,Mr,McCoy,3
0,3,male,19.0,0.0,S,Mr,Johnson,1
1,2,female,27.915708812260537,12.35,Q,Miss,Keane,1
0,3,male,30.72664459161148,8.05,S,Mr,Williams,1
1,1,male,0.92,151.55,S,Master,Allison,4
1,1,female,27.915708812260537,110.8833,C,Miss,Fleming,1
1,1,female,17.0,108.9,C,Mrs,Penasco y Castellana,2
0,2,male,30.0,24.0,C,Mr,Abelson,2
1,1,female,30.0,56.9292,C,Miss,Francatelli,1
1,1,female,24.0,83.1583,C,Miss,Hays,1
1,1,female,18.0,262.375,C,Miss,Ryerson,5
0,2,female,26.0,26.0,S,Mrs,Lahtinen,3
0,3,male,28.0,7.8958,S,Mr,Hendekovic,1
0,2,male,43.0,26.25,S,Mr,Hart,3
1,3,female,26.0,7.8542,S,Miss,Nilsson,1
1,2,female,24.0,26.0,S,Mrs,Kantor,2
0,2,male,54.0,14.0,S,Rare,Moraweck,1
1,1,female,31.0,164.8667,S,Miss,Wick,3
1,1,female,40.0,134.5,C,Mrs,Spedden,3
0,3,male,22.0,7.25,S,Mr,Dennis,1
0,3,male,27.0,7.8958,S,Mr,Danoff,1
1,2,female,30.0,12.35,Q,Miss,Slayter,1
1,2,female,22.0,29.0,S,Mrs,Caldwell,3
0,3,male,30.72664459161148,69.55,S,Mr,Sage,11
1,1,female,36.0,135.6333,C,Miss,Young,1
0,3,male,61.0,6.2375,S,Mr,Nysveen,1
1,2,female,36.0,13.0,S,Mrs,Ball,1
1,3,female,31.0,20.525,S,Mrs,Goldsmith,3
1,1,female,16.0,57.9792,C,Miss,Hippach,2
1,3,female,27.915708812260537,23.25,Q,Miss,McCoy,3
0,1,male,45.5,28.5,S,Mr,Partner,1
0,1,male,38.0,153.4625,S,Mr,Graham,2
0,3,male,16.0,18.0,S,Mr,Vander Planke,3
1,1,female,27.915708812260537,133.65,S,Mrs,Frauenthal,2
0,3,male,30.72664459161148,7.8958,S,Mr,Denkoff,1
0,1,male,29.0,66.6,S,Mr,Pears,2
1,1,female,41.0,134.5,C,Miss,Burns,1
1,3,male,45.0,8.05,S,Mr,Dahl,1
0,1,male,45.0,35.5,S,Mr,Blackwell,1
1,2,male,2.0,26.0,S,Master,Navratil,3
1,1,female,24.0,263.0,S,Miss,Fortune,6
0,2,male,28.0,13.0,S,Mr,Collander,1
0,2,male,25.0,13.0,S,Mr,Sedgwick,1
0,2,male,36.0,13.0,S,Mr,Fox,1
1,2,female,24.0,13.0,S,Miss,Brown,1
1,2,female,40.0,13.0,S,Miss,Smith,1
1,3,female,27.915708812260537,16.1,S,Mrs,Davison,2
1,3,male,3.0,15.9,S,Master,Coutts,3
0,3,male,42.0,8.6625,S,Mr,Dimic,1
0,3,male,23.0,9.225,S,Mr,Odahl,1
0,1,male,30.72664459161148,35.0,S,Mr,Williams-Lambert,1
0,3,male,15.0,7.2292,C,Mr,Elias,3
0,3,male,25.0,17.8,S,Mr,Arnold-Franchi,2
0,3,male,30.72664459161148,7.225,C,Mr,Yousif,1
0,3,male,28.0,9.5,S,Mr,Vanden Steen,1
1,1,female,22.0,55.0,S,Miss,Bowerman,2
0,2,female,38.0,13.0,S,Miss,Funk,1
1,3,female,27.915708812260537,7.8792,Q,Miss,McGovern,1
1,3,female,27.915708812260537,7.8792,Q,Miss,Mockler,1
0,3,male,40.0,27.9,S,Mr,Skoog,6
0,2,male,29.0,27.7208,C,Mr,del Carlo,2
0,3,female,45.0,14.4542,C,Mrs,Barbara,2
0,3,male,35.0,7.05,S,Mr,Asim,1
0,3,male,30.72664459161148,15.5,Q,Mr,O'Brien,2
0,3,male,30.0,7.25,S,Mr,Adahl,1
1,1,female,60.0,75.25,C,Mrs,Warren,2
1,3,female,27.915708812260537,7.2292,C,Mrs,Moussa,1
1,3,female,27.915708812260537,7.75,Q,Miss,Jermyn,1
1,1,female,24.0,69.3,C,Mme,Aubart,1
1,1,male,25.0,55.4417,C,Mr,Harder,2
0,3,male,18.0,6.4958,S,Mr,Wiklund,2
0,3,male,19.0,8.05,S,Mr,Beavan,1
0,1,male,22.0,135.6333,C,Mr,Ringhini,1
0,3,female,3.0,21.075,S,Miss,Palsson,5
1,1,female,27.915708812260537,82.1708,C,Mrs,Meyer,2
1,3,female,22.0,7.25,S,Miss,Landergren,1
0,1,male,27.0,211.5,C,Mr,Widener,3
0,3,male,20.0,4.0125,C,Mr,Betros,1
0,3,male,19.0,7.775,S,Mr,Gustafsson,1
1,1,female,42.0,227.525,C,Miss,Bidois,1
1,3,female,1.0,15.7417,C,Miss,Nakid,3
0,3,male,32.0,7.925,S,Mr,Tikkanen,1
1,1,female,35.0,52.0,S,Mrs,Holverson,2
0,3,male,30.72664459161148,7.8958,S,Mr,Plotcharsky,1
0,2,male,18.0,73.5,S,Mr,Davies,1
0,3,male,1.0,46.9,S,Master,Goodwin,8
1,2,female,36.0,13.0,S,Miss,Buss,1
0,3,male,30.72664459161148,7.7292,Q,Mr,Sadlier,1
1,2,female,17.0,12.0,C,Miss,Lehmann,1
1,1,male,36.0,120.0,S,Mr,Carter,4
1,3,male,21.0,7.7958,S,Mr,Jansson,1
0,3,male,28.0,7.925,S,Mr,Gustafsson,3
1,1,female,23.0,113.275,C,Miss,Newell,2
1,3,female,24.0,16.7,S,Mrs,Sandstrom,3
0,3,male,22.0,7.7958,S,Mr,Johansson,1
0,3,female,31.0,7.8542,S,Miss,Olsson,1
0,2,male,46.0,26.0,S,Mr,McKane,1
0,2,male,23.0,10.5,S,Rare,Pain,1
1,2,female,28.0,12.65,S,Mrs,Trout,1
1,3,male,39.0,7.925,S,Mr,Niskanen,1
0,3,male,26.0,8.05,S,Mr,Adams,1
0,3,female,21.0,9.825,S,Miss,Jussila,2
0,3,male,28.0,15.85,S,Mr,Hakkarainen,2
0,3,female,20.0,8.6625,S,Miss,Oreskovic,1
0,2,male,34.0,21.0,S,Mr,Gale,2
0,3,male,51.0,7.75,S,Mr,Widegren,1
1,2,male,3.0,18.75,S,Master,Richards,3
0,3,male,21.0,7.775,S,Mr,Birkeland,1
0,3,female,27.915708812260537,25.4667,S,Miss,Lefebre,5
0,3,male,30.72664459161148,7.8958,S,Mr,Sdycoff,1
0,3,male,30.72664459161148,6.8583,Q,Mr,Hart,1
1,1,female,33.0,90.0,Q,Miss,Minahan,2
0,2,male,30.72664459161148,0.0,S,Mr,Cunningham,1
1,3,male,44.0,7.925,S,Mr,Sundman,1
0,3,female,27.915708812260537,8.05,S,Mrs,Meek,1
1,2,female,34.0,32.5,S,Mrs,Drew,3
1,2,female,18.0,13.0,S,Miss,Silven,3
0,2,male,30.0,13.0,S,Mr,Matthews,1
0,3,female,10.0,24.15,S,Miss,Van Impe,3
0,3,male,30.72664459161148,7.8958,C,Mr,Gheorgheff,1
0,3,male,21.0,7.7333,Q,Mr,Charters,1
0,3,male,29.0,7.875,S,Mr,Zimmerman,1
0,3,female,28.0,14.4,S,Mrs,Danbom,3
0,3,male,18.0,20.2125,S,Mr,Rosblom,3
0,3,male,30.72664459161148,7.25,S,Mr,Wiseman,1
1,2,female,28.0,26.0,S,Mrs,Clarke,2
1,2,female,19.0,26.0,S,Miss,Phillips,1
0,3,male,30.72664459161148,7.75,Q,Mr,Flynn,1
1,3,male,32.0,8.05,S,Mr,Pickard,1
1,1,male,28.0,26.55,S,Mr,Bjornstrom-Steffansson,1
1,3,female,27.915708812260537,16.1,S,Mrs,Thorneycroft,2
1,2,female,42.0,26.0,S,Mrs,Louch,2
0,3,male,17.0,7.125,S,Mr,Kallio,1
0,1,male,50.0,55.9,S,Mr,Silvey,2
1,1,female,14.0,120.0,S,Miss,Carter,4
0,3,female,21.0,34.375,S,Miss,Ford,5
1,2,female,24.0,18.75,S,Mrs,Richards,6
0,1,male,64.0,263.0,S,Mr,Fortune,6
0,2,male,31.0,10.5,S,Mr,Kvillner,1
1,2,female,45.0,26.25,S,Mrs,Hart,3
0,3,male,20.0,9.5,S,Mr,Hampe,1
0,3,male,25.0,7.775,S,Mr,Petterson,2
